Race,Event,Type,Name,Position,Lane,Time,Diff
1,Op.Int.1x,Heat 1,Leicester (ALLEN),1,5,07:50.5,00:00.0
1,Op.Int.1x,Heat 1,Norwich (ROTHERAM),2,3,07:56.7,00:06.2
1,Op.Int.1x,Heat 1,York (LEWIS),3,2,08:09.2,00:18.7
1,Op.Int.1x,Heat 1,Leeds (BRODERICK),4,4,08:12.4,00:22.0
2,Op.Int.1x,Heat 2,Nottingham (LUNN),1,2,07:42.1,00:00.0
2,Op.Int.1x,Heat 2,Leicester (NICKSON),2,3,07:43.8,00:01.8
2,Op.Int.1x,Heat 2,Nottingham (BLACK),3,5,07:49.9,00:07.8
2,Op.Int.1x,Heat 2,Hereford (RAY),4,4,08:09.1,00:27.0
3,Op.J18.1x,Heat 1,Warrington (PRITCHARD),1,2,07:52.4,00:00.0
3,Op.J18.1x,Heat 1,Newark (WOODMAN),2,3,08:01.0,00:08.6
3,Op.J18.1x,Heat 1,Newark (PETKOVIC),3,4,08:33.7,00:41.3
4,Op.J18.1x,Heat 2,American Sch (TEJPAUL),1,2,07:22.6,00:00.0
4,Op.J18.1x,Heat 2,Windsor BS (REES-J),2,4,07:57.4,00:34.8
4,Op.J18.1x,Heat 2,Newark (BELL) C,3,3,07:57.7,00:35.2
5,W.1x,Heat 1,Oxford (ARMSTRONG),1,2,06:22.8,00:00.0
5,W.1x,Heat 1,City of Oxford (BIGGS),2,5,06:23.0,00:00.2
5,W.1x,Heat 1,Hollingworth (DANIELS),3,4,06:23.1,00:00.3
5,W.1x,Heat 1,Upper Thames (HOLLAND),4,1,06:23.2,00:00.4
5,W.1x,Heat 1,Dart Totnes (HALLETT),5,3,06:25.3,00:02.5
6,W.1x,Heat 2,Leeds Univ (BROOKS),1,2,08:22.1,00:00.0
6,W.1x,Heat 2,Upper Thames (TIJSSEN),2,3,08:24.9,00:02.8
6,W.1x,Heat 2,Derby (TAYLOR),3,5,08:31.8,00:09.7
